"Magnetizzazione:0","Magnetizzazione:1","Magnetizzazione:2","Heff:0","Heff:1","Heff:2","Hms:0","Hms:1","Hms:2","Hext:0","Hext:1","Hext:2","Hex:0","Hex:1","Hex:2","Cell Type"
1.41281e+005,-8.48315e+005,9.87243e+002,-8.54839e+002,5.13285e+003,-5.97323e+000,-1.33673e+004,4.54473e+002,-3.54351e+002,1.40000e+004,0.00000e+000,0.00000e+000,-1.48755e+003,4.67837e+003,3.48378e+002,9
1.86382e+005,-8.39560e+005,8.53320e+002,-1.05640e+003,4.75855e+003,-4.83635e+000,-1.30970e+004,5.08270e+002,-2.97187e+002,1.40000e+004,0.00000e+000,0.00000e+000,-1.95939e+003,4.25028e+003,2.92350e+002,9
2.20514e+005,-8.31248e+005,7.35747e+002,-1.28818e+003,4.85593e+003,-4.29787e+000,-1.37295e+004,8.08519e+002,-2.42421e+002,1.40000e+004,0.00000e+000,0.00000e+000,-1.55868e+003,4.04741e+003,2.38123e+002,9
2.65815e+005,-8.17889e+005,6.89755e+002,-3.22845e+003,9.93367e+003,-8.37727e+000,-1.68005e+004,5.61739e+003,-2.19050e+002,1.40000e+004,0.00000e+000,0.00000e+000,-4.27983e+002,4.31628e+003,2.10672e+002,9
3.16903e+005,-7.99482e+005,6.41804e+002,-9.02110e+002,2.27584e+003,-1.82686e+000,-1.11973e+004,-6.80107e+002,-1.92416e+002,1.40000e+004,0.00000e+000,0.00000e+000,-3.70482e+003,2.95595e+003,1.90589e+002,9
3.48975e+005,-7.86013e+005,5.57169e+002,-5.61310e+002,1.26427e+003,-8.96076e-001,-1.19023e+004,-1.68043e+003,-1.42203e+002,1.40000e+004,0.00000e+000,0.00000e+000,-2.65903e+003,2.94469e+003,1.41307e+002,9
4.96049e+005,-7.02521e+005,5.90392e+002,-4.43196e+003,6.27669e+003,-5.27483e+000,-1.65201e+004,2.35667e+003,-1.74653e+002,1.40000e+004,0.00000e+000,0.00000e+000,-1.91185e+003,3.92002e+003,1.69378e+002,9
5.45637e+005,-6.64741e+005,5.55437e+002,-2.08408e+003,2.53900e+003,-2.12150e+000,-1.17596e+004,7.54891e+002,-1.55135e+002,1.40000e+004,0.00000e+000,0.00000e+000,-4.32449e+003,1.78411e+003,1.53014e+002,9
5.87896e+005,-6.27677e+005,5.12104e+002,-3.24159e+003,3.46094e+003,-2.82369e+000,-1.36876e+004,1.43046e+003,-1.30120e+002,1.40000e+004,0.00000e+000,0.00000e+000,-3.55404e+003,2.03048e+003,1.27296e+002,9
6.27958e+005,-5.87596e+005,4.97404e+002,-2.63957e+003,2.46991e+003,-2.09083e+000,-1.33195e+004,3.04027e+002,-1.23381e+002,1.40000e+004,0.00000e+000,0.00000e+000,-3.32004e+003,2.16588e+003,1.21290e+002,9
